企业代号,营收规模,毛利率,现金流,优值交易比率,供求稳定程度
E1,591715.4062,-0.303782809,11691505787,0.90975051,0.710949503
E2,54671.29824,3.04519904,866444652.6,0.859726693,0.645656306
E3,28361.22577,10.86943389,740260626.3,0.285807172,0.450166003
E4,1051380.85,5.166100811,2726038124,0.907663893,0.5
E5,229045.4458,0.04627429,474838386.3,0.938889335,0.622459331
E6,420725.8744,0.297437121,783740475.4,0.858345299,0.524979187
E7,75004.1269,8.1699272,677862226.9,0.234789475,0.524979187
E8,45662.19425,1.376827226,611433688,0.814441123,0.524979187
E9,64479.86215,13.26158292,407520436,0.919297241,0.524979187
E10,670243.9276,57.76237628,387177161.4,0.90281696,0.5
E11,149491.3158,0.074186317,322431368.5,0.939715425,0.475020813
E12,924852.6053,1.369866564,374805707.1,0.915219275,0.475020813
E13,34410.08053,1.501291948,385576862.6,0.818035721,0.645656306
E14,79429.67226,0.914976696,403348463,0.908678513,0.524979187
E15,97089.30888,47.74731919,238983357.5,0.936981758,0.59868766
E16,542197.3472,810.6825845,238317883.9,0.888382688,0.645656306
E17,298267.5605,0.290433516,357877812.3,0.796075462,0.524979187
E18,570799.3136,0.465196357,365901428.5,0.89567121,0.622459331
E19,74488.43289,0.042891782,452185393.8,0.867672257,0.645656306
E20,305326.975,0.058213094,461427420.9,0.948519949,0.450166003
E21,90790.89211,-0.044198007,272353654.1,0.906621435,0.5
E22,90150.8928,0.707468018,223286167.3,0.86524178,0.689974481
E23,60407.09478,0.062905374,418543758.3,0.96509862,0.524979187
E24,94099.67189,0.901071489,255891459.4,0.892277503,0.475020813
E25,49663.50415,3.713422263,58875714.13,0.808448818,0.5
E26,92973.86958,0.055959867,91234409.05,0.890220628,0.622459331
E27,34566.60963,-0.023301232,102698167,0.933758086,0.645656306
E28,103311.3599,37.31238345,60318502.27,0.922671353,0.450166003
E29,99967.11322,253.0379578,47671297.22,0.987368421,0.574442517
E30,104731.2829,2.307468039,109117100.7,0.93375,0.574442517
E31,21651.16493,10.05756323,61572809.73,0.957919268,0.710949503
E32,88273.74181,17.68468961,51334968.2,0.839617104,0.622459331
E33,81497.42568,0.033017535,172098483.5,0.819817121,0.524979187
E34,142789.2296,0.58349248,164704725.9,0.837753232,0.5
E35,52250.58936,0.067316886,77928369.62,0.956169526,0.475020813
E36,28067.72246,0.831174723,67132740.23,0.877268225,0.524979187
E37,44003.33405,0.074082401,108168894.9,0.909582725,0.645656306
E38,89938.664,2.538085914,72445333.3,0.864816957,0.622459331
